ID	X1	X2	X6	X8	X9	X10	X11	X13	X14	X15	X16	X17	X18	X19	X20	X22	X23	X25	X27	X30	X31	X32	X33	X34	X35	Kabul
X63	0.66	6.1143	16.4853			8.5				5.2068	4.5188	3	1.75	11.455	0.5			1					11.2	58.9352	69.7302	0
X64	0.66	6.0343	16.4853			8.5				5.1988	4.5188	3	1.75	11.4374	0.5			1					11.2	58.8472	69.6246	0
X65	0.38	2.5143	15.96			5				1.3857	0.84	2	1	5.82	0.4			1						30.48	35.92	1
X66	0.4	2.5143	16.88			8	0.5936			1.8147	3.5	2.4	1.7	7.6217	0.4			1			0.306			39.5086	46.7303	1
X67	0.41	2.5143	15.58			5.5				1.4927	2.66	2	1.2	6.2694	0.4			1						32.757	38.6164	0
X68	0.18	3.1143	4.2916		7.3935	6				1.6556	2.5432	2	1.75	5.8496	0.5			1						30.4282	36.0978	0
X69	0.2	2	20.438			8				2.0077	5.0166	3	1.2	8.4325	0.5			0.5059						42.8682	51.1007	0
X70	0.3	3.39	9		2	8	0.255	4		1.9834	6	3	2	8.3303	0.5			1.4995	0.73		0.793			43.4509	51.4812	1
X71	0.225	2.903	5.4961		3	5.5				2.7468	1.0687	4	1.5	6.0429	0.5			1					3.5	31.4396	37.2575	0
X72	0.29	6.0398	9.5728			9.5				1.6156	2	2.5	2	6.7856	0.4			1				0.3		35.2182	41.7138	0
X73	0.3	2.6819	12.5029			8.5	0.3	0.15		1.8503	4.1931	1.65	1.3	4.827	0.4	2.1371					0.502			36.4673	40.9943	0
X74	0.26	2.8671	8.4279			8.5	0.3	0.15		1.5496	2.6835	2	1.3	4.0424	0.4	1.7898					0.3211			30.549	34.3314	0
X75	0.26	2.8671	7.2262			8.5	0.3	0.15		1.4551	2.5909	1.65	1.3	3.7958	0.4	1.6806					0.3211			28.701	32.2368	0
X76	0.55	2.7114	13.8648			6				1.4716	2.8557	2	1.5	4.6355	0.5			1						32.4535	36.539	1
X77	0.3	2.6889	9.3			8.5	0.3	0.15		1.6668	4.1959	1.65	1.3	4.3481	0.4	1.9251					0.5027			32.8794	36.9275	0
X78	1.43	2.9704	65.2323			8.6				4.0631	0.26	2.5	1.2	12.7989	0.5	5.4508		0.9812						93.1878	104.5567	0
X79	0.165	2.9638	4.3221			8.5		0.15		1.8229	9.3404	1.8	1.2	7.2916	0.4	2.1055					0.4902			33.2599	40.3865	0
X80	0.645	3.9934	16.1789			7.5				1.719	1.0333	3	1.5	6.7307	0.5			1						37.0696	43.1553	1
X81	0.645	3.9934	21.058			7.5				1.9503	1.4552	3	1.5	6.1435	0.5			1						42.6019	48.1004	1
X82	0.62	4.3578	21.6347			8.5				2.2119	5.7462	2	1.5	6.9676	0.5			1						48.0706	54.4182	1
X83	0.665	3.2734	23.2617			7.5				2.2817	6.5995	3	1.5	7.1874	0.5			1						49.5813	56.1037	0
X84	0.69	3.2734	17.2766			8.5			5	1.7377	4.4925	3	1.5	6.777	0.4			1						46.8702	52.9572	1
X85	0.66	3.2734	21.5477			8.5			4.5	2.4717	6.6135	3	1.5	9.2393	0.5			1						53.5663	62.1456	1
X86	0.55	2.7234	17.9564			6				1.7341	4.0017	2	1.5	5.4623	0.5			1						37.9656	42.8779	1
X87	0.265	3.7285	16.4383			4.3				1.6909	4.1373	2.5	1.5	7.102	0.4			0.3348	0.48					35.7748	42.6118	1
X88	0.28	2.8217	7.42			9.1	1.8294			1.6586	12.7312	2.5	2.5	10.7807	0.4		0.1876	0.4105	0.48		1.0837			43.4027	53.9034	1
X89	0.57	2.5885	35.91			6	0.3	0.15		2.9163	1.3	2.5	1.5	7.6077	0.4	3.3683					0.0698			57.5729	64.6106	0
X90	0.2	5.1522	7.4886			8	0.7	0.2		1.8231	2.1344	2	1.4025	6.0167	0.5	2.1056	0.6	0.361	0.53		0.321		1.055	34.5734	40.3901	0
X91	0.165	5.1522	4.1708			8	0.7	0.2		1.6293	2.2786	2	1.4025	5.3771	0.5	1.8818	0.6	0.3226	0.53		0.2963		1.055	30.8841	36.0962	0
X92	0.55	2.5885	19.25			6	0.3	0.15		1.9584	1.3	2.5	1.5	5.1087	0.4	2.2619					0.0698			38.8286	43.3873	0
X93	0.665	3.2857	21.8264			7.5				2.1873	6.133	3	1.5	6.8899	0.5			1						47.5974	53.8223	0
X94	0.66	3.2857	21.6623			7				2.0721	5.4935	2	1.5	4.3514	0.5			1						45.1736	48.865	1
X95	1.72	11.7249	69.4115			12.5				5.1498	0.7602	6.5	1.5	21.6293	0.6	7.209		1.2978						118.3732	138.2825	1
X96	0.3	2.6976	11.5511			7.5	0.3	0.15		1.7597	4.2019	2	1.3	4.5906	0.4	2.0325					0.5035			34.6963	38.9869	0
X97	0.51	5.3106	15.8541			9.5				1.9457	3.0484	2.5	2	8.1718	0.4			1				0.3		42.3688	50.0306	0
X98	0.37	9.3645	11.4185			8				1.7697	1.4113	2.5	2	7.4328	0.4			1				0.3		38.534	45.5968	0
X99	0.51	10.8145	15.739			10				2.1582	1.4113	2.5	2	9.0646	0.4			1				0.3		46.833	55.3876	0
X100	0.6	8.3145	18.5164		2.2	9				2.346	3.6882	2.5	2	9.853	0.4			1				0.3		50.8651	60.1181	0
X101	0.6	8.3145	18.5164		2.2	10.5			4	2.6116	3.5001	2.5	2	10.9685	0.4			1				0.3		56.4426	66.8111	0
